round,date,time,team1,team2,score/ht/0,score/ht/1,score/ft/0,score/ft/1,status
Matchday 1,2022-08-05,20:35,Eintracht Frankfurt,FC Bayern München,0,5,1,6,
Matchday 1,2022-08-06,15:30,FC Augsburg,SC Freiburg,0,0,0,4,
Matchday 1,2022-08-06,15:30,VfL Bochum 1848,1. FSV Mainz 05,1,1,1,2,
Matchday 1,2022-08-06,15:30,VfL Wolfsburg,SV Werder Bremen,1,2,2,2,
Matchday 1,2022-08-06,15:30,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1,1,3,1,
Matchday 1,2022-08-06,15:30,1. FC Union Berlin,Hertha BSC,1,0,3,1,
Matchday 1,2022-08-06,18:30,Borussia Dortmund,Bayer 04 Leverkusen,1,0,1,0,
Matchday 1,2022-08-07,15:30,VfB Stuttgart,RB Leipzig,1,1,1,1,
Matchday 1,2022-08-07,17:30,1. FC Köln,FC Schalke 04,0,0,3,1,
Matchday 2,2022-08-12,20:30,SC Freiburg,Borussia Dortmund,1,0,1,3,
Matchday 2,2022-08-13,15:30,SV Werder Bremen,VfB Stuttgart,1,1,2,2,
Matchday 2,2022-08-13,15:30,Hertha BSC,Eintracht Frankfurt,1,0,1,1,
Matchday 2,2022-08-13,15:30,TSG 1899 Hoffenheim,VfL Bochum 1848,2,2,3,2,
Matchday 2,2022-08-13,15:30,RB Leipzig,1. FC Köln,1,1,2,2,
Matchday 2,2022-08-13,15:30,Bayer 04 Leverkusen,FC Augsburg,1,1,1,2,
Matchday 2,2022-08-13,18:30,FC Schalke 04,Borussia Mönchengladbach,1,0,2,2,
Matchday 2,2022-08-14,15:30,1. FSV Mainz 05,1. FC Union Berlin,,,0,0,
Matchday 2,2022-08-14,17:30,FC Bayern München,VfL Wolfsburg,2,0,2,0,
Matchday 3,2022-08-19,20:30,Borussia Mönchengladbach,Hertha BSC,1,0,1,0,
Matchday 3,2022-08-20,15:30,VfB Stuttgart,SC Freiburg,0,1,0,1,
Matchday 3,2022-08-20,15:30,FC Augsburg,1. FSV Mainz 05,1,1,1,2,
Matchday 3,2022-08-20,15:30,VfL Wolfsburg,FC Schalke 04,,,0,0,
Matchday 3,2022-08-20,15:30,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0,2,0,3,
Matchday 3,2022-08-20,15:30,Borussia Dortmund,SV Werder Bremen,1,0,2,3,
Matchday 3,2022-08-20,18:30,1. FC Union Berlin,RB Leipzig,2,0,2,1,
Matchday 3,2022-08-21,15:30,Eintracht Frankfurt,1. FC Köln,0,0,1,1,
Matchday 3,2022-08-21,17:30,VfL Bochum 1848,FC Bayern München,0,4,0,7,
Matchday 4,2022-08-26,20:30,SC Freiburg,VfL Bochum 1848,0,0,1,0,
Matchday 4,2022-08-27,15:30,FC Schalke 04,1. FC Union Berlin,1,3,1,6,
Matchday 4,2022-08-27,15:30,Hertha BSC,Borussia Dortmund,0,1,0,1,
Matchday 4,2022-08-27,15:30,TSG 1899 Hoffenheim,FC Augsburg,1,0,1,0,
Matchday 4,2022-08-27,15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,0,3,0,3,
Matchday 4,2022-08-27,15:30,RB Leipzig,VfL Wolfsburg,1,0,2,0,
Matchday 4,2022-08-27,18:30,FC Bayern München,Borussia Mönchengladbach,0,1,1,1,
Matchday 4,2022-08-28,15:30,1. FC Köln,VfB Stuttgart,,,0,0,
Matchday 4,2022-08-28,17:30,SV Werder Bremen,Eintracht Frankfurt,2,3,3,4,
Matchday 5,2022-09-02,20:30,Borussia Dortmund,TSG 1899 Hoffenheim,1,0,1,0,
Matchday 5,2022-09-03,15:30,VfB Stuttgart,FC Schalke 04,1,1,1,1,
Matchday 5,2022-09-03,15:30,VfL Bochum 1848,SV Werder Bremen,0,0,0,2,
Matchday 5,2022-09-03,15:30,VfL Wolfsburg,1. FC Köln,1,3,2,4,
Matchday 5,2022-09-03,15:30,1. FC Union Berlin,FC Bayern München,1,1,1,1,
Matchday 5,2022-09-03,15:30,Bayer 04 Leverkusen,SC Freiburg,1,0,2,3,
Matchday 5,2022-09-03,18:30,Eintracht Frankfurt,RB Leipzig,2,0,4,0,
Matchday 5,2022-09-04,15:30,FC Augsburg,Hertha BSC,0,0,0,2,
Matchday 5,2022-09-04,17:30,Borussia Mönchengladbach,1. FSV Mainz 05,0,0,0,1,
Matchday 6,2022-09-09,20:30,SV Werder Bremen,FC Augsburg,0,0,0,1,
Matchday 6,2022-09-10,15:30,Hertha BSC,Bayer 04 Leverkusen,0,0,2,2,
Matchday 6,2022-09-10,15:30,Eintracht Frankfurt,VfL Wolfsburg,0,0,0,1,
Matchday 6,2022-09-10,15:30,TSG 1899 Hoffenheim,1. FSV Mainz 05,0,0,4,1,
Matchday 6,2022-09-10,15:30,RB Leipzig,Borussia Dortmund,2,0,3,0,
Matchday 6,2022-09-10,15:30,FC Bayern München,VfB Stuttgart,1,0,2,2,
Matchday 6,2022-09-10,18:30,FC Schalke 04,VfL Bochum 1848,1,0,3,1,
Matchday 6,2022-09-11,15:30,1. FC Köln,1. FC Union Berlin,0,1,0,1,
Matchday 6,2022-09-11,17:30,SC Freiburg,Borussia Mönchengladbach,,,0,0,
Matchday 7,2022-09-16,20:30,1. FSV Mainz 05,Hertha BSC,0,1,1,1,
Matchday 7,2022-09-17,15:30,VfB Stuttgart,Eintracht Frankfurt,0,1,1,3,
Matchday 7,2022-09-17,15:30,FC Augsburg,FC Bayern München,0,0,1,0,
Matchday 7,2022-09-17,15:30,Bayer 04 Leverkusen,SV Werder Bremen,0,0,1,1,
Matchday 7,2022-09-17,15:30,Borussia Dortmund,FC Schalke 04,0,0,1,0,
Matchday 7,2022-09-17,18:30,Borussia Mönchengladbach,RB Leipzig,2,0,3,0,
Matchday 7,2022-09-18,15:30,1. FC Union Berlin,VfL Wolfsburg,0,0,2,0,
Matchday 7,2022-09-18,17:30,VfL Bochum 1848,1. FC Köln,1,0,1,1,
Matchday 7,2022-09-18,19:30,TSG 1899 Hoffenheim,SC Freiburg,,,0,0,
Matchday 8,2022-09-30,20:30,FC Bayern München,Bayer 04 Leverkusen,3,0,4,0,
Matchday 8,2022-10-01,15:30,VfL Wolfsburg,VfB Stuttgart,2,2,3,2,
Matchday 8,2022-10-01,15:30,Eintracht Frankfurt,1. FC Union Berlin,2,0,2,0,
Matchday 8,2022-10-01,15:30,1. FC Köln,Borussia Dortmund,0,1,3,2,
Matchday 8,2022-10-01,15:30,SC Freiburg,1. FSV Mainz 05,2,0,2,1,
Matchday 8,2022-10-01,15:30,RB Leipzig,VfL Bochum 1848,2,0,4,0,
Matchday 8,2022-10-01,18:30,SV Werder Bremen,Borussia Mönchengladbach,4,0,5,1,
Matchday 8,2022-10-02,15:35,Hertha BSC,TSG 1899 Hoffenheim,1,1,1,1,
Matchday 8,2022-10-02,17:30,FC Schalke 04,FC Augsburg,1,2,2,3,
Matchday 9,2022-10-07,20:30,TSG 1899 Hoffenheim,SV Werder Bremen,1,1,1,2,
Matchday 9,2022-10-08,15:30,FC Augsburg,VfL Wolfsburg,0,1,1,1,
Matchday 9,2022-10-08,15:30,VfL Bochum 1848,Eintracht Frankfurt,0,0,3,0,
Matchday 9,2022-10-08,15:30,1. FSV Mainz 05,RB Leipzig,1,0,1,1,
Matchday 9,2022-10-08,15:30,Bayer 04 Leverkusen,FC Schalke 04,2,0,4,0,
Matchday 9,2022-10-08,18:30,Borussia Dortmund,FC Bayern München,0,1,2,2,
Matchday 9,2022-10-09,15:30,Borussia Mönchengladbach,1. FC Köln,2,1,5,2,
Matchday 9,2022-10-09,17:30,Hertha BSC,SC Freiburg,1,1,2,2,
Matchday 9,2022-10-09,19:30,VfB Stuttgart,1. FC Union Berlin,0,0,0,1,
Matchday 10,2022-10-14,20:30,FC Schalke 04,TSG 1899 Hoffenheim,0,2,0,3,
Matchday 10,2022-10-15,15:30,SV Werder Bremen,1. FSV Mainz 05,0,1,0,2,
Matchday 10,2022-10-15,15:30,VfB Stuttgart,VfL Bochum 1848,2,1,4,1,
Matchday 10,2022-10-15,15:30,VfL Wolfsburg,Borussia Mönchengladbach,1,1,2,2,
Matchday 10,2022-10-15,15:30,Eintracht Frankfurt,Bayer 04 Leverkusen,1,0,5,1,
Matchday 10,2022-10-15,18:30,RB Leipzig,Hertha BSC,3,0,3,2,
Matchday 10,2022-10-16,15:30,1. FC Köln,FC Augsburg,0,1,3,2,
Matchday 10,2022-10-16,17:30,1. FC Union Berlin,Borussia Dortmund,2,0,2,0,
Matchday 10,2022-10-16,19:30,FC Bayern München,SC Freiburg,2,0,5,0,
Matchday 11,2022-10-21,20:30,1. FSV Mainz 05,1. FC Köln,3,0,5,0,
Matchday 11,2022-10-22,15:30,FC Augsburg,RB Leipzig,1,0,3,3,
Matchday 11,2022-10-22,15:30,TSG 1899 Hoffenheim,FC Bayern München,0,2,0,2,
Matchday 11,2022-10-22,15:30,SC Freiburg,SV Werder Bremen,0,0,2,0,
Matchday 11,2022-10-22,15:30,Bayer 04 Leverkusen,VfL Wolfsburg,1,1,2,2,
Matchday 11,2022-10-22,15:30,Borussia Dortmund,VfB Stuttgart,3,0,5,0,
Matchday 11,2022-10-22,18:30,Borussia Mönchengladbach,Eintracht Frankfurt,0,3,1,3,
Matchday 11,2022-10-23,15:30,VfL Bochum 1848,1. FC Union Berlin,1,0,2,1,
Matchday 11,2022-10-23,17:30,Hertha BSC,FC Schalke 04,0,0,2,1,
Matchday 12,2022-10-28,20:30,SV Werder Bremen,Hertha BSC,0,0,1,0,
Matchday 12,2022-10-29,15:30,VfB Stuttgart,FC Augsburg,1,1,2,1,
Matchday 12,2022-10-29,15:30,VfL Wolfsburg,VfL Bochum 1848,2,0,4,0,
Matchday 12,2022-10-29,15:30,RB Leipzig,Bayer 04 Leverkusen,1,0,2,0,
Matchday 12,2022-10-29,15:30,FC Bayern München,1. FSV Mainz 05,3,1,6,2,
Matchday 12,2022-10-29,18:30,Eintracht Frankfurt,Borussia Dortmund,1,1,1,2,
Matchday 12,2022-10-30,15:30,1. FC Union Berlin,Borussia Mönchengladbach,0,1,2,1,
Matchday 12,2022-10-30,17:30,FC Schalke 04,SC Freiburg,0,1,0,2,
Matchday 12,2022-10-30,19:30,1. FC Köln,TSG 1899 Hoffenheim,1,1,1,1,
Matchday 13,2022-11-04,20:30,Borussia Mönchengladbach,VfB Stuttgart,2,1,3,1,
Matchday 13,2022-11-05,15:30,Hertha BSC,FC Bayern München,2,3,2,3,
Matchday 13,2022-11-05,15:30,FC Augsburg,Eintracht Frankfurt,1,1,1,2,
Matchday 13,2022-11-05,15:30,TSG 1899 Hoffenheim,RB Leipzig,0,1,1,3,
Matchday 13,2022-11-05,15:30,1. FSV Mainz 05,VfL Wolfsburg,0,1,0,3,
Matchday 13,2022-11-05,15:30,Borussia Dortmund,VfL Bochum 1848,3,0,3,0,
Matchday 13,2022-11-05,18:30,SV Werder Bremen,FC Schalke 04,1,0,2,1,
Matchday 13,2022-11-06,15:30,Bayer 04 Leverkusen,1. FC Union Berlin,0,0,5,0,
Matchday 13,2022-11-06,17:30,SC Freiburg,1. FC Köln,0,0,2,0,
Matchday 14,2022-11-08,18:30,VfL Wolfsburg,Borussia Dortmund,1,0,2,0,
Matchday 14,2022-11-08,20:30,VfB Stuttgart,Hertha BSC,1,1,2,1,
Matchday 14,2022-11-08,20:30,VfL Bochum 1848,Borussia Mönchengladbach,2,0,2,1,
Matchday 14,2022-11-08,20:30,FC Bayern München,SV Werder Bremen,4,1,6,1,
Matchday 14,2022-11-09,18:30,1. FC Köln,Bayer 04 Leverkusen,1,0,1,2,
Matchday 14,2022-11-09,20:30,FC Schalke 04,1. FSV Mainz 05,1,0,1,0,
Matchday 14,2022-11-09,20:30,Eintracht Frankfurt,TSG 1899 Hoffenheim,3,1,4,2,
Matchday 14,2022-11-09,20:30,1. FC Union Berlin,FC Augsburg,2,2,2,2,
Matchday 14,2022-11-09,20:30,RB Leipzig,SC Freiburg,0,0,3,1,
Matchday 15,2022-11-11,20:30,Borussia Mönchengladbach,Borussia Dortmund,3,2,4,2,
Matchday 15,2022-11-12,15:30,SV Werder Bremen,RB Leipzig,0,1,1,2,
Matchday 15,2022-11-12,15:30,Hertha BSC,1. FC Köln,1,0,2,0,
Matchday 15,2022-11-12,15:30,FC Augsburg,VfL Bochum 1848,0,0,0,1,
Matchday 15,2022-11-12,15:30,TSG 1899 Hoffenheim,VfL Wolfsburg,1,1,1,2,
Matchday 15,2022-11-12,15:30,Bayer 04 Leverkusen,VfB Stuttgart,1,0,2,0,
Matchday 15,2022-11-12,18:30,FC Schalke 04,FC Bayern München,0,1,0,2,
Matchday 15,2022-11-13,15:30,1. FSV Mainz 05,Eintracht Frankfurt,1,0,1,1,
Matchday 15,2022-11-13,17:30,SC Freiburg,1. FC Union Berlin,4,0,4,1,
Matchday 16,2023-01-20,20:30,RB Leipzig,FC Bayern München,0,1,1,1,
Matchday 16,2023-01-21,15:30,VfB Stuttgart,1. FSV Mainz 05,1,1,1,1,
Matchday 16,2023-01-21,15:30,VfL Bochum 1848,Hertha BSC,2,0,3,1,
Matchday 16,2023-01-21,15:30,VfL Wolfsburg,SC Freiburg,3,0,6,0,
Matchday 16,2023-01-21,15:30,Eintracht Frankfurt,FC Schalke 04,1,0,3,0,
Matchday 16,2023-01-21,15:30,1. FC Union Berlin,TSG 1899 Hoffenheim,0,1,3,1,
Matchday 16,2023-01-21,18:30,1. FC Köln,SV Werder Bremen,5,1,7,1,
Matchday 16,2023-01-22,15:30,Borussia Dortmund,FC Augsburg,2,2,4,3,
Matchday 16,2023-01-22,17:30,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,2,2,3,
Matchday 17,2023-01-24,18:30,FC Schalke 04,RB Leipzig,0,4,1,6,
Matchday 17,2023-01-24,20:30,Hertha BSC,VfL Wolfsburg,0,3,0,5,
Matchday 17,2023-01-24,20:30,TSG 1899 Hoffenheim,VfB Stuttgart,1,1,2,2,
Matchday 17,2023-01-24,20:30,FC Bayern München,1. FC Köln,0,1,1,1,
Matchday 17,2023-01-25,18:30,1. FSV Mainz 05,Borussia Dortmund,1,1,1,2,
Matchday 17,2023-01-25,20:30,SV Werder Bremen,1. FC Union Berlin,1,1,1,2,
Matchday 17,2023-01-25,20:30,FC Augsburg,Borussia Mönchengladbach,0,0,1,0,
Matchday 17,2023-01-25,20:30,SC Freiburg,Eintracht Frankfurt,0,1,1,1,
Matchday 17,2023-01-25,20:30,Bayer 04 Leverkusen,VfL Bochum 1848,1,0,2,0,
Matchday 18,2023-01-27,20:30,RB Leipzig,VfB Stuttgart,1,0,2,1,
Matchday 18,2023-01-28,15:30,SV Werder Bremen,VfL Wolfsburg,1,0,2,1,
Matchday 18,2023-01-28,15:30,Hertha BSC,1. FC Union Berlin,0,1,0,2,
Matchday 18,2023-01-28,15:30,TSG 1899 Hoffenheim,Borussia Mönchengladbach,0,2,1,4,
Matchday 18,2023-01-28,15:30,1. FSV Mainz 05,VfL Bochum 1848,3,0,5,2,
Matchday 18,2023-01-28,15:30,SC Freiburg,FC Augsburg,2,1,3,1,
Matchday 18,2023-01-28,18:30,FC Bayern München,Eintracht Frankfurt,1,0,1,1,
Matchday 18,2023-01-29,15:30,FC Schalke 04,1. FC Köln,,,0,0,
Matchday 18,2023-01-29,17:30,Bayer 04 Leverkusen,Borussia Dortmund,0,1,0,2,
Matchday 19,2023-02-03,20:30,FC Augsburg,Bayer 04 Leverkusen,0,0,1,0,
Matchday 19,2023-02-04,15:30,VfL Bochum 1848,TSG 1899 Hoffenheim,3,0,5,2,
Matchday 19,2023-02-04,15:30,Eintracht Frankfurt,Hertha BSC,2,0,3,0,
Matchday 19,2023-02-04,15:30,1. FC Köln,RB Leipzig,,,0,0,
Matchday 19,2023-02-04,15:30,1. FC Union Berlin,1. FSV Mainz 05,1,0,2,1,
Matchday 19,2023-02-04,15:30,Borussia Dortmund,SC Freiburg,1,1,5,1,
Matchday 19,2023-02-04,18:30,Borussia Mönchengladbach,FC Schalke 04,,,0,0,
Matchday 19,2023-02-05,15:30,VfB Stuttgart,SV Werder Bremen,0,0,0,2,
Matchday 19,2023-02-05,17:30,VfL Wolfsburg,FC Bayern München,1,3,2,4,
Matchday 20,2023-02-10,20:30,FC Schalke 04,VfL Wolfsburg,,,0,0,
Matchday 20,2023-02-11,15:30,SV Werder Bremen,Borussia Dortmund,0,0,0,2,
Matchday 20,2023-02-11,15:30,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,0,1,1,3,
Matchday 20,2023-02-11,15:30,1. FSV Mainz 05,FC Augsburg,2,1,3,1,
Matchday 20,2023-02-11,15:30,SC Freiburg,VfB Stuttgart,0,1,2,1,
Matchday 20,2023-02-11,15:30,FC Bayern München,VfL Bochum 1848,1,0,3,0,
Matchday 20,2023-02-11,18:30,RB Leipzig,1. FC Union Berlin,1,0,1,2,
Matchday 20,2023-02-12,15:30,Hertha BSC,Borussia Mönchengladbach,1,1,4,1,
Matchday 20,2023-02-12,17:30,1. FC Köln,Eintracht Frankfurt,0,0,3,0,
Matchday 21,2023-02-17,20:30,FC Augsburg,TSG 1899 Hoffenheim,0,0,1,0,
Matchday 21,2023-02-18,15:30,VfL Bochum 1848,SC Freiburg,0,1,0,2,
Matchday 21,2023-02-18,15:30,VfL Wolfsburg,RB Leipzig,0,1,0,3,
Matchday 21,2023-02-18,15:30,Borussia Mönchengladbach,FC Bayern München,1,1,3,2,
Matchday 21,2023-02-18,15:30,VfB Stuttgart,1. FC Köln,1,0,3,0,
Matchday 21,2023-02-18,18:30,Eintracht Frankfurt,SV Werder Bremen,1,0,2,0,
Matchday 21,2023-02-19,15:30,1. FC Union Berlin,FC Schalke 04,,,0,0,
Matchday 21,2023-02-19,17:30,Borussia Dortmund,Hertha BSC,2,0,4,1,
Matchday 21,2023-02-19,19:30,Bayer 04 Leverkusen,1. FSV Mainz 05,1,2,2,3,
Matchday 22,2023-02-24,20:30,1. FSV Mainz 05,Borussia Mönchengladbach,1,0,4,0,
Matchday 22,2023-02-25,15:30,SV Werder Bremen,VfL Bochum 1848,2,0,3,0,
Matchday 22,2023-02-25,15:30,Hertha BSC,FC Augsburg,0,0,2,0,
Matchday 22,2023-02-25,15:30,TSG 1899 Hoffenheim,Borussia Dortmund,0,1,0,1,
Matchday 22,2023-02-25,15:30,1. FC Köln,VfL Wolfsburg,0,1,0,2,
Matchday 22,2023-02-25,15:30,RB Leipzig,Eintracht Frankfurt,2,0,2,1,
Matchday 22,2023-02-25,18:30,FC Schalke 04,VfB Stuttgart,2,0,2,1,
Matchday 22,2023-02-26,15:30,SC Freiburg,Bayer 04 Leverkusen,1,0,1,1,
Matchday 22,2023-02-26,17:30,FC Bayern München,1. FC Union Berlin,3,0,3,0,
Matchday 23,2023-03-03,20:30,Borussia Dortmund,RB Leipzig,2,0,2,1,
Matchday 23,2023-03-04,15:30,FC Augsburg,SV Werder Bremen,1,1,2,1,
Matchday 23,2023-03-04,15:30,VfL Bochum 1848,FC Schalke 04,0,1,0,2,
Matchday 23,2023-03-04,15:30,Borussia Mönchengladbach,SC Freiburg,,,0,0,
Matchday 23,2023-03-04,15:30,1. FSV Mainz 05,TSG 1899 Hoffenheim,1,0,1,0,
Matchday 23,2023-03-04,15:30,1. FC Union Berlin,1. FC Köln,,,0,0,
Matchday 23,2023-03-04,18:30,VfB Stuttgart,FC Bayern München,0,1,1,2,
Matchday 23,2023-03-05,15:30,Bayer 04 Leverkusen,Hertha BSC,2,0,4,1,
Matchday 23,2023-03-05,17:30,VfL Wolfsburg,Eintracht Frankfurt,2,2,2,2,
Matchday 24,2023-03-10,20:30,1. FC Köln,VfL Bochum 1848,0,1,0,2,
Matchday 24,2023-03-11,15:30,Hertha BSC,1. FSV Mainz 05,1,0,1,1,
Matchday 24,2023-03-11,15:30,Eintracht Frankfurt,VfB Stuttgart,0,0,1,1,
Matchday 24,2023-03-11,15:30,RB Leipzig,Borussia Mönchengladbach,0,0,3,0,
Matchday 24,2023-03-11,15:30,FC Bayern München,FC Augsburg,4,1,5,3,
Matchday 24,2023-03-11,18:30,FC Schalke 04,Borussia Dortmund,0,1,2,2,
Matchday 24,2023-03-12,15:30,SC Freiburg,TSG 1899 Hoffenheim,1,0,2,1,
Matchday 24,2023-03-12,17:30,SV Werder Bremen,Bayer 04 Leverkusen,1,1,2,3,
Matchday 24,2023-03-12,19:30,VfL Wolfsburg,1. FC Union Berlin,0,0,1,1,
Matchday 25,2023-03-17,20:30,Borussia Mönchengladbach,SV Werder Bremen,0,0,2,2,
Matchday 25,2023-03-18,15:30,VfB Stuttgart,VfL Wolfsburg,0,0,0,1,
Matchday 25,2023-03-18,15:30,FC Augsburg,FC Schalke 04,0,0,1,1,
Matchday 25,2023-03-18,15:30,VfL Bochum 1848,RB Leipzig,0,0,1,0,
Matchday 25,2023-03-18,15:30,TSG 1899 Hoffenheim,Hertha BSC,2,0,3,1,
Matchday 25,2023-03-18,18:30,Borussia Dortmund,1. FC Köln,4,1,6,1,
Matchday 25,2023-03-19,15:30,1. FC Union Berlin,Eintracht Frankfurt,0,0,2,0,
Matchday 25,2023-03-19,17:30,Bayer 04 Leverkusen,FC Bayern München,0,1,2,1,
Matchday 25,2023-03-19,19:30,1. FSV Mainz 05,SC Freiburg,0,0,1,1,
Matchday 26,2023-03-31,20:30,Eintracht Frankfurt,VfL Bochum 1848,1,1,1,1,
Matchday 26,2023-04-01,15:30,FC Schalke 04,Bayer 04 Leverkusen,0,0,0,3,
Matchday 26,2023-04-01,15:30,VfL Wolfsburg,FC Augsburg,0,2,2,2,
Matchday 26,2023-04-01,15:30,SC Freiburg,Hertha BSC,0,0,1,1,
Matchday 26,2023-04-01,15:30,1. FC Union Berlin,VfB Stuttgart,0,0,3,0,
Matchday 26,2023-04-01,15:30,RB Leipzig,1. FSV Mainz 05,0,1,0,3,
Matchday 26,2023-04-01,18:30,FC Bayern München,Borussia Dortmund,3,0,4,2,
Matchday 26,2023-04-02,15:30,1. FC Köln,Borussia Mönchengladbach,,,0,0,
Matchday 26,2023-04-02,17:30,SV Werder Bremen,TSG 1899 Hoffenheim,0,0,1,2,
Matchday 27,2023-04-08,15:30,FC Augsburg,1. FC Köln,1,2,1,3,
Matchday 27,2023-04-08,15:30,1. FSV Mainz 05,SV Werder Bremen,0,0,2,2,
Matchday 27,2023-04-08,15:30,SC Freiburg,FC Bayern München,0,0,0,1,
Matchday 27,2023-04-08,15:30,Bayer 04 Leverkusen,Eintracht Frankfurt,2,0,3,1,
Matchday 27,2023-04-08,15:30,Borussia Dortmund,1. FC Union Berlin,1,0,2,1,
Matchday 27,2023-04-08,18:30,Hertha BSC,RB Leipzig,0,1,0,1,
Matchday 27,2023-04-09,15:30,Borussia Mönchengladbach,VfL Wolfsburg,1,0,2,0,
Matchday 27,2023-04-09,17:30,VfL Bochum 1848,VfB Stuttgart,0,1,2,3,
Matchday 27,2023-04-09,19:30,TSG 1899 Hoffenheim,FC Schalke 04,1,0,2,0,
Matchday 28,2023-04-14,20:30,FC Schalke 04,Hertha BSC,2,1,5,2,
Matchday 28,2023-04-15,15:30,VfB Stuttgart,Borussia Dortmund,0,2,3,3,
Matchday 28,2023-04-15,15:30,1. FC Köln,1. FSV Mainz 05,0,1,1,1,
Matchday 28,2023-04-15,15:30,RB Leipzig,FC Augsburg,3,1,3,2,
Matchday 28,2023-04-15,15:30,FC Bayern München,TSG 1899 Hoffenheim,1,0,1,1,
Matchday 28,2023-04-15,18:30,Eintracht Frankfurt,Borussia Mönchengladbach,0,1,1,1,
Matchday 28,2023-04-16,15:30,SV Werder Bremen,SC Freiburg,0,0,1,2,
Matchday 28,2023-04-16,17:30,1. FC Union Berlin,VfL Bochum 1848,1,0,1,1,
Matchday 28,2023-04-16,19:30,VfL Wolfsburg,Bayer 04 Leverkusen,,,0,0,
Matchday 29,2023-04-21,20:30,FC Augsburg,VfB Stuttgart,1,0,1,1,
Matchday 29,2023-04-22,15:30,Hertha BSC,SV Werder Bremen,0,2,2,4,
Matchday 29,2023-04-22,15:30,VfL Bochum 1848,VfL Wolfsburg,0,3,1,5,
Matchday 29,2023-04-22,15:30,TSG 1899 Hoffenheim,1. FC Köln,0,2,1,3,
Matchday 29,2023-04-22,15:30,1. FSV Mainz 05,FC Bayern München,0,1,3,1,
Matchday 29,2023-04-22,18:30,Borussia Dortmund,Eintracht Frankfurt,3,0,4,0,
Matchday 29,2023-04-23,15:30,SC Freiburg,FC Schalke 04,2,0,4,0,
Matchday 29,2023-04-23,17:30,Bayer 04 Leverkusen,RB Leipzig,1,0,2,0,
Matchday 29,2023-04-23,19:30,Borussia Mönchengladbach,1. FC Union Berlin,0,0,0,1,
Matchday 30,2023-04-28,20:30,VfL Bochum 1848,Borussia Dortmund,1,1,1,1,
Matchday 30,2023-04-29,15:30,VfB Stuttgart,Borussia Mönchengladbach,1,0,2,1,
Matchday 30,2023-04-29,15:30,Eintracht Frankfurt,FC Augsburg,1,0,1,1,
Matchday 30,2023-04-29,15:30,1. FC Köln,SC Freiburg,0,0,0,1,
Matchday 30,2023-04-29,15:30,1. FC Union Berlin,Bayer 04 Leverkusen,,,0,0,
Matchday 30,2023-04-29,15:30,RB Leipzig,TSG 1899 Hoffenheim,1,0,1,0,
Matchday 30,2023-04-29,18:30,FC Schalke 04,SV Werder Bremen,0,1,2,1,
Matchday 30,2023-04-30,15:30,FC Bayern München,Hertha BSC,0,0,2,0,
Matchday 30,2023-04-30,17:30,VfL Wolfsburg,1. FSV Mainz 05,3,0,3,0,
Matchday 31,2023-05-05,20:30,1. FSV Mainz 05,FC Schalke 04,0,1,2,3,
Matchday 31,2023-05-05,20:30,Bayer 04 Leverkusen,1. FC Köln,1,2,1,2,
Matchday 31,2023-05-06,15:30,Hertha BSC,VfB Stuttgart,2,1,2,1,
Matchday 31,2023-05-06,15:30,FC Augsburg,1. FC Union Berlin,0,0,1,0,
Matchday 31,2023-05-06,15:30,Borussia Mönchengladbach,VfL Bochum 1848,1,0,2,0,
Matchday 31,2023-05-06,15:30,TSG 1899 Hoffenheim,Eintracht Frankfurt,3,0,3,1,
Matchday 31,2023-05-06,15:30,SC Freiburg,RB Leipzig,0,0,0,1,
Matchday 31,2023-05-06,18:30,SV Werder Bremen,FC Bayern München,0,0,1,2,
Matchday 31,2023-05-07,17:30,Borussia Dortmund,VfL Wolfsburg,3,0,6,0,
Matchday 32,2023-05-12,20:30,1. FC Köln,Hertha BSC,3,2,5,2,
Matchday 32,2023-05-13,15:30,VfL Bochum 1848,FC Augsburg,1,1,3,2,
Matchday 32,2023-05-13,15:30,VfL Wolfsburg,TSG 1899 Hoffenheim,1,0,2,1,
Matchday 32,2023-05-13,15:30,Eintracht Frankfurt,1. FSV Mainz 05,2,0,3,0,
Matchday 32,2023-05-13,15:30,1. FC Union Berlin,SC Freiburg,3,0,4,2,
Matchday 32,2023-05-13,15:30,FC Bayern München,FC Schalke 04,2,0,6,0,
Matchday 32,2023-05-13,18:30,Borussia Dortmund,Borussia Mönchengladbach,4,0,5,2,
Matchday 32,2023-05-14,15:30,VfB Stuttgart,Bayer 04 Leverkusen,0,0,1,1,
Matchday 32,2023-05-14,17:30,RB Leipzig,SV Werder Bremen,0,0,2,1,
Matchday 33,2023-05-19,20:30,SC Freiburg,VfL Wolfsburg,0,0,2,0,
Matchday 33,2023-05-20,15:30,SV Werder Bremen,1. FC Köln,0,1,1,1,
Matchday 33,2023-05-20,15:30,FC Schalke 04,Eintracht Frankfurt,1,1,2,2,
Matchday 33,2023-05-20,15:30,Hertha BSC,VfL Bochum 1848,0,0,1,1,
Matchday 33,2023-05-20,15:30,TSG 1899 Hoffenheim,1. FC Union Berlin,2,1,4,2,
